,team_member_id,department,years_employeed,employee_level,team_leader,access_level
21100,21100,Data Science,4,N/A,1,level_3
3122,3122,Data Science,5,,0,level_4
8020,8020,Customer Support,6,specialist,0,level_3
15006,15006,N/A,3,,0,level_3
14819,14819,Operation Research,2,junior,0,
18856,18856,Operation Research,0,junior,0,level_3
14400,14400,,9,senior,0,level_3
6655,6655,Data Science,3,,0,N/A
1858,1858,Data Science,1,senior,0,level_2
14379,14379,N/A,2,specialist,0,level_5
14829,14829,,7,junior,0,level_4
23417,23417,Operation Research,3,junior,0,level_3
9265,9265,,9,associate,0,N/A
1242,1242,Human Resources,1,associate,0,
10961,10961,IT,6,N/A,0,level_3
440,440,N/A,0,specialist,0,level_1
10912,10912,Data Science,7,specialist,0,level_4
19517,19517,N/A,4,senior,0,
17062,17062,N/A,-1,associate,1,level_1
26594,26594,IT,6,specialist,1,
26136,26136,IT,-1,associate,0,level_1
29815,29815,N/A,6,senior,0,level_4
16823,16823,N/A,1,N/A,0,level_3
16946,16946,Operation Research,1,associate,0,level_1
29628,29628,,2,,0,level_1
9379,9379,N/A,0,senior,0,level_2
4856,4856,IT,4,junior,1,level_5
29653,29653,N/A,3,,0,
13129,13129,Product Management,2,associate,0,level_3
9726,9726,Data Science,9,associate,1,
14752,14752,IT,1,specialist,0,level_2
29105,29105,Human Resources,1,N/A,0,level_2
3310,3310,,8,junior,0,level_3
13317,13317,N/A,999,senior,0,level_2
3623,3623,Operation Research,5,,0,N/A
2442,2442,Data Science,6,,0,level_5
9052,9052,Data Science,4,N/A,0,level_1
8491,8491,Customer Support,8,senior,0,level_4
9257,9257,Customer Support,1,junior,0,N/A
4388,4388,,1,associate,1,level_5
17031,17031,,-1,associate,0,level_2
20844,20844,Data Science,7,junior,0,level_3
8565,8565,Product Management,9,junior,0,
10307,10307,IT,4,senior,0,level_3
28264,28264,Operation Research,0,senior,0,level_1
18316,18316,Human Resources,999,senior,0,level_4
3389,3389,Human Resources,8,,0,
7470,7470,Human Resources,8,specialist,0,
10050,10050,IT,8,specialist,0,level_5
27075,27075,N/A,4,N/A,0,level_1
27160,27160,Customer Support,-1,junior,1,
24379,24379,Customer Support,0,,0,level_1
29661,29661,Customer Support,6,N/A,0,
13020,13020,Data Science,3,associate,0,level_1
10768,10768,,6,specialist,0,level_5
6815,6815,Customer Support,5,,0,level_4
27516,27516,Human Resources,6,,0,level_2
13322,13322,Product Management,2,senior,0,level_5
25438,25438,Data Science,8,specialist,0,level_1
12675,12675,N/A,9,N/A,0,N/A
7350,7350,Product Management,0,N/A,0,level_3
20493,20493,,-1,junior,0,level_4
13182,13182,Product Management,4,junior,0,N/A
18052,18052,Data Science,3,specialist,0,level_1
7813,7813,Product Management,999,senior,0,N/A
5085,5085,Product Management,2,junior,0,
20532,20532,Product Management,3,,1,level_2
8384,8384,N/A,5,senior,1,level_5
16912,16912,,8,,0,level_5
25667,25667,IT,4,N/A,0,level_2
7046,7046,Data Science,7,senior,0,level_2
18923,18923,,2,senior,0,N/A
13892,13892,Product Management,3,,0,N/A
4390,4390,IT,5,junior,1,level_2
4296,4296,IT,-1,senior,1,level_4
23405,23405,IT,6,specialist,0,level_3
9737,9737,Human Resources,999,junior,0,
15479,15479,Product Management,0,specialist,0,level_3
5783,5783,Product Management,2,specialist,0,N/A
12182,12182,,1,N/A,0,N/A
29322,29322,Human Resources,8,senior,1,level_5
4399,4399,Product Management,6,senior,0,level_2
14706,14706,N/A,0,junior,1,level_2
6814,6814,N/A,0,N/A,0,level_1
29246,29246,Data Science,0,associate,1,N/A
3574,3574,Operation Research,0,,0,
23787,23787,Product Management,1,senior,1,level_4
15,15,IT,6,associate,1,level_5
4459,4459,Product Management,6,N/A,0,level_1
10444,10444,Product Management,1,junior,0,level_5
137,137,Human Resources,0,junior,0,
14063,14063,Data Science,6,associate,0,level_2
26659,26659,IT,7,associate,0,N/A
28784,28784,Operation Research,6,specialist,1,level_5
18378,18378,N/A,8,junior,0,level_5
5738,5738,Data Science,9,junior,0,
29861,29861,Data Science,2,,0,level_5
1832,1832,IT,-1,,0,level_4
14291,14291,Product Management,7,associate,0,
18481,18481,Data Science,5,N/A,0,level_2
25408,25408,Data Science,5,,0,level_4
23239,23239,,8,associate,0,level_5
14741,14741,,0,associate,0,
28148,28148,N/A,9,N/A,0,level_4
19888,19888,IT,3,associate,0,level_1
13804,13804,Customer Support,7,,0,level_5
2981,2981,Human Resources,2,N/A,0,level_5
3124,3124,,2,senior,1,level_3
1938,1938,Data Science,-1,,0,level_2
3168,3168,Data Science,6,,0,N/A
22351,22351,Data Science,4,N/A,0,
27822,27822,Human Resources,3,senior,0,
17716,17716,IT,8,,0,level_2
13751,13751,,2,junior,0,level_4
4592,4592,Product Management,7,senior,1,
20395,20395,Product Management,0,,0,level_5
17829,17829,Data Science,4,N/A,0,level_5
18512,18512,Customer Support,4,junior,0,level_5
12140,12140,Customer Support,8,senior,0,level_4
2693,2693,Customer Support,3,N/A,0,level_1
14080,14080,IT,1,,0,level_2
1465,1465,Product Management,0,specialist,0,level_1
12752,12752,Product Management,0,N/A,0,level_5
19299,19299,IT,2,junior,0,
2576,2576,IT,7,associate,0,level_1
19345,19345,Data Science,6,specialist,0,level_1
15947,15947,Human Resources,7,senior,0,
22024,22024,N/A,7,specialist,0,level_3
13583,13583,Product Management,1,specialist,0,N/A
13579,13579,Data Science,6,junior,0,level_3
13900,13900,Customer Support,0,N/A,0,level_2
12940,12940,Human Resources,-1,junior,0,level_1
26602,26602,Operation Research,4,junior,0,N/A
3056,3056,Product Management,0,N/A,0,
13131,13131,Customer Support,6,N/A,0,level_3
9878,9878,IT,8,specialist,0,level_1
6056,6056,Data Science,0,senior,1,
26769,26769,,1,N/A,0,N/A
19534,19534,Customer Support,6,junior,0,level_5
24822,24822,,1,specialist,0,level_2
17281,17281,IT,6,senior,0,
19988,19988,Human Resources,3,senior,0,N/A
19743,19743,Customer Support,3,N/A,1,
26795,26795,IT,4,N/A,0,level_4
26531,26531,,3,junior,0,level_4
18200,18200,IT,6,,1,level_4
12275,12275,Product Management,7,associate,0,level_2
11045,11045,Human Resources,1,,0,level_5
9146,9146,Customer Support,4,,0,level_1
3016,3016,Human Resources,2,N/A,0,level_1
15761,15761,IT,999,N/A,1,level_2
20706,20706,,2,N/A,1,level_5
7291,7291,Operation Research,8,associate,0,level_5
6194,6194,Product Management,6,junior,0,
4487,4487,Data Science,3,specialist,1,N/A
11157,11157,Customer Support,9,N/A,1,level_3
11232,11232,N/A,4,,0,level_2
6087,6087,IT,1,specialist,0,level_2
9068,9068,Operation Research,9,associate,0,
9072,9072,Product Management,8,N/A,0,level_4
10623,10623,Data Science,8,N/A,0,
12115,12115,Operation Research,-1,senior,0,level_5
21604,21604,N/A,1,senior,0,
18847,18847,N/A,5,,0,level_2
14961,14961,Data Science,4,N/A,1,level_2
3608,3608,,5,,0,
1846,1846,Operation Research,1,associate,0,level_3
19027,19027,N/A,1,specialist,0,
23356,23356,IT,6,associate,0,level_5
6882,6882,Customer Support,-1,associate,0,N/A
19224,19224,Customer Support,1,N/A,0,level_5
10544,10544,Human Resources,8,N/A,0,N/A
29660,29660,Data Science,-1,senior,0,level_1
19121,19121,,6,N/A,1,
2742,2742,,4,associate,1,level_2
22957,22957,Product Management,8,associate,0,N/A
29153,29153,Operation Research,2,N/A,0,level_2
25690,25690,IT,2,senior,0,level_1
23761,23761,Operation Research,3,N/A,0,level_4
8950,8950,,999,associate,0,N/A
5196,5196,IT,5,senior,0,level_2
18035,18035,N/A,1,N/A,0,N/A
4283,4283,IT,999,specialist,0,level_4
24239,24239,,5,junior,0,level_1
27599,27599,Product Management,4,N/A,0,level_3
18448,18448,,9,senior,0,level_3
13787,13787,Operation Research,1,specialist,1,
13290,13290,N/A,-1,junior,0,N/A
15903,15903,Data Science,1,N/A,0,
9979,9979,,2,,0,level_1
12435,12435,Customer Support,1,junior,0,level_1
15827,15827,IT,2,senior,0,level_4
4665,4665,N/A,9,specialist,0,level_2
23481,23481,Customer Support,7,associate,0,level_1
6451,6451,N/A,6,,0,level_4
19508,19508,,8,N/A,0,level_3
29570,29570,,1,associate,0,level_1
24564,24564,Data Science,6,junior,0,
24803,24803,Data Science,4,associate,0,
2230,2230,,7,senior,0,level_3
5295,5295,Operation Research,1,junior,0,
27019,27019,Human Resources,0,,0,
13443,13443,Product Management,-1,specialist,0,N/A
11375,11375,Operation Research,6,N/A,1,level_3
11554,11554,Human Resources,6,junior,0,N/A
19690,19690,,3,junior,0,level_4
22459,22459,Product Management,6,senior,0,
5044,5044,N/A,1,senior,0,level_2
12966,12966,N/A,2,associate,0,
11985,11985,Human Resources,9,associate,0,level_1
25563,25563,Product Management,7,associate,0,level_3
28045,28045,N/A,6,junior,0,level_2
25040,25040,N/A,1,senior,0,level_5
9346,9346,Operation Research,7,senior,0,
15150,15150,N/A,3,,0,
12840,12840,Human Resources,6,specialist,0,level_1
26506,26506,Customer Support,5,junior,0,
21827,21827,Customer Support,6,,1,
123,123,Customer Support,2,senior,0,level_2
15127,15127,Product Management,7,associate,0,level_2
3264,3264,Customer Support,0,specialist,0,N/A
12181,12181,Customer Support,8,,1,level_5
20273,20273,Data Science,3,senior,0,level_2
22316,22316,Human Resources,3,N/A,0,level_1
7808,7808,Product Management,9,senior,0,level_4
10214,10214,Customer Support,0,associate,0,level_5
18364,18364,Human Resources,0,specialist,0,N/A
21399,21399,Product Management,4,specialist,0,level_2
20420,20420,Human Resources,9,,0,N/A
26705,26705,Customer Support,5,associate,1,level_5
11170,11170,Data Science,6,N/A,0,
4233,4233,IT,1,,0,level_5
7921,7921,N/A,2,associate,1,level_1
18473,18473,IT,5,junior,0,level_3
11882,11882,Customer Support,0,senior,0,N/A
920,920,IT,7,senior,0,level_5
4681,4681,N/A,7,,0,level_3
257,257,Product Management,0,associate,0,level_5
20870,20870,,4,,0,level_1
19501,19501,N/A,2,junior,0,level_3
26527,26527,Operation Research,1,junior,0,level_2
20125,20125,Data Science,4,,0,
11184,11184,N/A,1,junior,0,
12038,12038,Data Science,5,N/A,0,level_4
20001,20001,Operation Research,0,,0,level_5
6654,6654,Data Science,3,specialist,0,level_4
3869,3869,IT,5,senior,0,level_5
273,273,Operation Research,5,junior,1,
16409,16409,Data Science,9,,0,
25090,25090,Product Management,0,associate,0,
16210,16210,N/A,5,,0,level_2
4903,4903,,6,associate,0,level_5
14928,14928,IT,999,N/A,0,level_3
16189,16189,Data Science,8,associate,0,level_2
2400,2400,Human Resources,6,associate,1,level_1
4712,4712,Human Resources,2,junior,0,level_3
11287,11287,Customer Support,1,senior,1,level_3
16278,16278,,6,N/A,0,level_4
6145,6145,Operation Research,0,N/A,0,
19179,19179,IT,9,,0,level_5
24790,24790,Operation Research,3,associate,0,N/A
18974,18974,,5,specialist,1,
10549,10549,Product Management,3,junior,0,level_1
5904,5904,Product Management,7,associate,0,level_1
15615,15615,,5,associate,0,N/A
13684,13684,,-1,specialist,0,level_4
3916,3916,Customer Support,1,N/A,0,
7745,7745,Human Resources,7,,0,level_5
5833,5833,Operation Research,3,associate,0,level_3
11781,11781,Customer Support,3,senior,1,level_4
3899,3899,Operation Research,1,,0,level_5
22080,22080,,7,associate,0,N/A
24833,24833,Product Management,9,associate,0,level_5
29137,29137,Human Resources,4,specialist,0,
28531,28531,,3,,0,N/A
21087,21087,N/A,3,specialist,0,level_4
155,155,Customer Support,4,specialist,0,level_2
474,474,N/A,2,senior,1,level_4
6425,6425,Data Science,1,junior,0,level_3
10530,10530,IT,999,junior,0,N/A
7825,7825,Data Science,6,specialist,1,level_4
6405,6405,N/A,0,senior,0,level_5
14473,14473,N/A,0,associate,1,N/A
4470,4470,Operation Research,7,junior,0,level_2
18606,18606,Data Science,9,,1,level_1
18087,18087,Human Resources,2,senior,0,level_3
8605,8605,Human Resources,4,junior,0,level_3
4355,4355,IT,9,specialist,0,level_4
4447,4447,Human Resources,6,associate,0,
12088,12088,N/A,5,,0,
19830,19830,N/A,4,N/A,0,level_1
8766,8766,,6,junior,0,level_3
22078,22078,Operation Research,7,specialist,0,level_1
25036,25036,N/A,1,senior,0,
12582,12582,Human Resources,8,associate,1,
25217,25217,N/A,9,associate,0,level_3
18040,18040,Product Management,9,N/A,0,level_2
17225,17225,N/A,4,senior,0,level_2
20820,20820,Customer Support,5,specialist,0,level_2
22812,22812,N/A,8,specialist,0,level_3
783,783,,3,specialist,0,level_4
2916,2916,Customer Support,5,junior,0,level_4
17177,17177,,4,junior,1,level_4
28616,28616,Human Resources,4,,0,level_1
4937,4937,Operation Research,5,senior,0,level_2
8593,8593,Data Science,-1,specialist,0,level_1
24585,24585,IT,2,specialist,0,level_5
21836,21836,IT,3,N/A,0,level_5
21379,21379,Human Resources,-1,N/A,0,N/A
29254,29254,IT,3,senior,0,level_3
27241,27241,Customer Support,7,,0,level_2
4293,4293,,6,associate,0,
27663,27663,,9,senior,0,level_2
6508,6508,,1,,0,N/A
25140,25140,Human Resources,0,junior,0,
6825,6825,Customer Support,1,senior,0,
27793,27793,,5,,0,N/A
22133,22133,Customer Support,9,N/A,0,level_4
25844,25844,Human Resources,8,,0,level_5
10949,10949,Product Management,-1,junior,1,level_4
21674,21674,Human Resources,-1,N/A,0,level_5
28680,28680,IT,1,senior,1,level_5
9115,9115,IT,1,specialist,0,level_5
4669,4669,Operation Research,4,senior,0,level_3
20005,20005,Product Management,1,specialist,0,level_5
10589,10589,Customer Support,2,,0,level_4
28908,28908,N/A,9,N/A,0,level_1
24612,24612,Human Resources,4,senior,0,level_4
13289,13289,Human Resources,3,specialist,1,level_2
14739,14739,Human Resources,6,,0,level_1
13968,13968,Product Management,1,N/A,0,level_3
11296,11296,Operation Research,6,specialist,1,N/A
959,959,Human Resources,2,senior,0,level_4
7391,7391,IT,7,N/A,1,
5152,5152,Human Resources,9,,1,level_5
4017,4017,N/A,8,associate,0,level_1
20757,20757,Human Resources,6,,1,
18956,18956,Data Science,1,N/A,0,
28505,28505,Product Management,7,junior,0,level_2
27965,27965,Data Science,5,junior,0,level_5
29463,29463,Human Resources,1,,0,level_4
24547,24547,Product Management,2,associate,0,level_2
3038,3038,Data Science,4,junior,0,level_2
15151,15151,,8,associate,0,level_4
21183,21183,Customer Support,4,associate,1,level_4
2761,2761,Data Science,9,N/A,0,level_4
25891,25891,Product Management,5,junior,0,level_2
7352,7352,Operation Research,-1,junior,0,level_5
8984,8984,Product Management,9,,0,level_5
171,171,IT,2,,0,level_2
24281,24281,Operation Research,-1,specialist,0,level_5
309,309,Data Science,2,senior,0,level_1
6238,6238,N/A,7,,0,
5481,5481,Product Management,-1,,0,
3998,3998,Human Resources,4,,0,level_4
24257,24257,Product Management,9,N/A,0,level_2
3169,3169,IT,1,specialist,0,
2897,2897,Product Management,0,N/A,0,
4575,4575,,3,associate,0,level_3
7657,7657,Data Science,2,,0,level_1
1738,1738,,4,associate,0,N/A
168,168,Customer Support,8,N/A,1,N/A
14289,14289,N/A,6,N/A,0,level_4
23796,23796,Data Science,999,N/A,0,
18006,18006,Customer Support,7,N/A,0,N/A
11015,11015,,1,senior,0,level_1
21954,21954,Operation Research,2,N/A,0,level_5
14311,14311,Data Science,1,,0,level_2
9066,9066,Customer Support,5,,0,level_1
21682,21682,Customer Support,3,N/A,0,level_3
820,820,IT,-1,specialist,0,level_2
4810,4810,,6,,0,level_4
27675,27675,Customer Support,6,senior,0,level_3
11112,11112,,2,N/A,0,level_2
22573,22573,Customer Support,-1,N/A,0,level_3
15272,15272,Operation Research,999,associate,0,
9202,9202,IT,999,junior,0,level_4
3560,3560,Product Management,6,,0,level_1
2966,2966,N/A,1,N/A,0,level_4
9512,9512,Human Resources,4,associate,0,
9891,9891,Data Science,4,specialist,1,level_4
25096,25096,Data Science,8,N/A,0,
15773,15773,Operation Research,9,N/A,1,level_4
19642,19642,IT,9,senior,0,level_4
17510,17510,Human Resources,7,,0,level_2
20985,20985,Customer Support,8,associate,0,level_4
18415,18415,N/A,2,specialist,0,level_5
11160,11160,N/A,-1,senior,1,level_3
22618,22618,,5,senior,0,level_2
18740,18740,Operation Research,7,N/A,0,level_1
28630,28630,Customer Support,0,junior,0,level_2
10837,10837,N/A,2,senior,0,level_2
12393,12393,N/A,4,associate,0,level_3
19516,19516,IT,1,associate,0,level_4
5131,5131,,3,specialist,0,level_2
23659,23659,Operation Research,7,senior,0,N/A
29010,29010,Data Science,2,N/A,0,level_2
16964,16964,Human Resources,7,,0,level_5
726,726,Customer Support,0,specialist,0,level_3
101,101,Data Science,2,specialist,0,N/A
19901,19901,,5,N/A,0,level_5
18498,18498,Human Resources,0,associate,0,level_3
3265,3265,,6,associate,0,level_2
29313,29313,N/A,3,senior,0,level_1
16415,16415,Data Science,5,associate,0,N/A
5050,5050,IT,2,junior,0,level_2
9768,9768,Human Resources,6,N/A,0,level_4
7326,7326,Human Resources,1,,0,level_3
11901,11901,Product Management,3,N/A,1,level_5
20911,20911,Human Resources,4,junior,0,level_1
8510,8510,Data Science,3,associate,0,level_2
19172,19172,,-1,junior,0,level_3
5025,5025,,8,N/A,1,level_1
28306,28306,Data Science,4,associate,1,level_3
23347,23347,Customer Support,9,senior,0,level_3
20226,20226,Customer Support,3,N/A,1,level_5
14887,14887,N/A,9,N/A,0,N/A
28541,28541,Product Management,4,,0,level_3
12058,12058,Customer Support,7,,0,level_3
13229,13229,Human Resources,4,senior,1,
16743,16743,Data Science,0,junior,0,level_5
17856,17856,IT,2,senior,0,level_2
14923,14923,Operation Research,1,specialist,0,level_4
12227,12227,IT,3,N/A,0,level_1
10946,10946,Operation Research,9,specialist,0,level_2
24901,24901,N/A,6,senior,0,level_4
11065,11065,IT,8,specialist,0,level_3
23827,23827,Customer Support,4,associate,0,level_5
17040,17040,Product Management,3,,0,level_1
22500,22500,Operation Research,8,associate,1,
27778,27778,N/A,3,specialist,1,
19301,19301,Customer Support,7,N/A,0,
16961,16961,Customer Support,5,senior,0,level_2
15035,15035,Human Resources,9,junior,0,level_3
387,387,IT,999,N/A,0,level_1
17381,17381,Customer Support,1,junior,0,level_5
10922,10922,,999,junior,1,level_2
1691,1691,Operation Research,9,junior,0,level_5
3603,3603,Operation Research,7,N/A,0,level_3
5933,5933,Product Management,6,specialist,0,N/A
19074,19074,Human Resources,2,senior,0,N/A
11106,11106,IT,9,junior,0,level_1
27586,27586,Operation Research,-1,specialist,0,level_1
12209,12209,Product Management,1,,0,level_1
20114,20114,Data Science,8,N/A,1,level_3
7209,7209,Customer Support,7,specialist,0,level_1
2438,2438,N/A,5,senior,0,level_5
8938,8938,N/A,0,specialist,1,
18432,18432,Human Resources,8,associate,0,
16787,16787,Data Science,5,senior,0,level_3
3817,3817,Operation Research,1,senior,0,
25876,25876,,5,junior,0,N/A
18590,18590,Operation Research,8,senior,0,level_5
5304,5304,IT,6,senior,0,level_4
27750,27750,,8,senior,0,level_5
25292,25292,Operation Research,3,specialist,0,level_4
20919,20919,Product Management,6,,0,
18518,18518,Human Resources,6,associate,0,level_2
22653,22653,Operation Research,6,specialist,0,level_5
3241,3241,IT,2,N/A,0,level_4
20964,20964,Data Science,2,junior,0,level_5
28269,28269,Operation Research,9,junior,0,
15187,15187,Operation Research,4,,0,level_2
26072,26072,Customer Support,0,N/A,0,level_4
24020,24020,IT,6,specialist,0,level_2
18805,18805,,7,,0,level_2
12340,12340,Data Science,9,senior,0,level_1
18227,18227,,1,associate,0,level_4
13007,13007,N/A,6,associate,0,
18548,18548,Human Resources,7,,0,
26917,26917,Data Science,6,associate,0,level_2
2732,2732,Data Science,5,specialist,0,level_1
24889,24889,Customer Support,1,specialist,0,level_4
22162,22162,Operation Research,9,specialist,0,N/A
5552,5552,Human Resources,8,junior,0,level_3
6069,6069,N/A,9,junior,0,
19146,19146,Operation Research,8,,0,level_5
14539,14539,Product Management,2,N/A,1,N/A
21504,21504,Product Management,7,junior,1,level_4
27821,27821,Product Management,6,senior,0,level_4
20818,20818,Operation Research,7,specialist,0,level_2
20549,20549,,-1,junior,0,level_1
410,410,N/A,8,associate,0,level_3
6390,6390,N/A,3,,1,level_1
22527,22527,Human Resources,9,associate,1,
20135,20135,Product Management,4,,0,N/A
25506,25506,Customer Support,0,,0,level_3
15702,15702,IT,0,,0,level_1
21885,21885,Operation Research,8,,0,level_1
22703,22703,Customer Support,6,senior,1,level_5
3266,3266,Product Management,3,specialist,0,level_3
9193,9193,Human Resources,4,associate,0,
4415,4415,N/A,3,specialist,0,N/A
21414,21414,Operation Research,5,,0,
20196,20196,Customer Support,3,,0,level_3
1866,1866,Operation Research,5,senior,0,N/A
7544,7544,Data Science,7,specialist,0,
22308,22308,,7,junior,0,level_2
19952,19952,N/A,6,specialist,0,level_2
17810,17810,Operation Research,9,,0,level_2
9196,9196,Data Science,6,,0,level_2
26946,26946,Operation Research,6,,0,N/A
9577,9577,IT,4,associate,0,level_5
21815,21815,Human Resources,6,specialist,1,level_1
25984,25984,IT,0,junior,0,level_3
4551,4551,Product Management,4,N/A,0,level_2
1688,1688,Product Management,4,senior,0,level_5
21955,21955,Human Resources,7,specialist,0,level_1
23252,23252,IT,-1,junior,0,level_3
9293,9293,,0,junior,1,level_1
3049,3049,Operation Research,6,N/A,0,level_4
23503,23503,Product Management,7,senior,1,level_1
20208,20208,N/A,7,associate,0,level_2
10329,10329,Human Resources,8,associate,1,level_3
17733,17733,Customer Support,9,junior,0,
25351,25351,Operation Research,8,associate,0,level_5
24322,24322,Operation Research,9,N/A,0,
21207,21207,Human Resources,4,junior,0,level_2
17766,17766,Customer Support,999,specialist,0,N/A
3836,3836,Human Resources,3,senior,0,level_4
2120,2120,IT,4,,0,level_5
18683,18683,Data Science,7,,0,
14738,14738,IT,3,,0,level_3
24406,24406,Human Resources,5,,1,N/A
2539,2539,,6,associate,0,level_1
24601,24601,Data Science,7,,0,level_3
12754,12754,Data Science,9,N/A,0,level_5
26818,26818,Human Resources,1,N/A,0,level_4
4590,4590,N/A,8,N/A,0,level_1
15639,15639,IT,7,junior,0,level_4
5439,5439,N/A,3,junior,0,level_1
25849,25849,Human Resources,5,N/A,0,level_5
23900,23900,N/A,6,junior,0,level_3
19472,19472,Operation Research,3,N/A,0,N/A
12268,12268,Human Resources,-1,,0,
17171,17171,Human Resources,7,N/A,1,
20522,20522,,9,,0,level_1
10673,10673,N/A,3,N/A,0,level_5
15821,15821,N/A,6,junior,0,level_4
26858,26858,,4,associate,0,level_4
29080,29080,Customer Support,8,specialist,0,level_2
10941,10941,Product Management,1,associate,0,level_3
21765,21765,Product Management,2,N/A,0,level_3
8655,8655,,8,junior,0,
26901,26901,,999,specialist,0,N/A
18850,18850,IT,6,,0,level_4
24638,24638,Product Management,6,,0,level_3
4400,4400,Human Resources,8,junior,0,level_4
29355,29355,,6,senior,0,level_1
15967,15967,N/A,2,specialist,0,level_3
6807,6807,Operation Research,2,specialist,0,
15686,15686,N/A,5,,0,
21950,21950,Data Science,3,specialist,0,level_4
13746,13746,Customer Support,8,specialist,1,level_4
23434,23434,Human Resources,2,junior,0,N/A
20902,20902,Data Science,0,senior,0,level_1
27286,27286,Data Science,6,N/A,0,level_4
5845,5845,Customer Support,9,,0,level_5
2241,2241,Human Resources,3,,0,level_1
8178,8178,N/A,2,junior,1,level_3
22340,22340,Operation Research,8,N/A,0,level_1
15847,15847,Human Resources,9,associate,0,
16058,16058,IT,8,,0,level_2
2179,2179,N/A,8,junior,1,N/A
9740,9740,Data Science,7,specialist,0,level_5
3194,3194,IT,0,,0,
27899,27899,Operation Research,0,senior,1,level_3
9085,9085,Customer Support,3,junior,0,level_2
27054,27054,,-1,junior,0,
1199,1199,Human Resources,-1,associate,1,level_3
8493,8493,Data Science,2,junior,0,level_3
28454,28454,Human Resources,8,senior,0,
27198,27198,Customer Support,2,associate,0,level_2
12446,12446,Product Management,3,specialist,0,N/A
12633,12633,N/A,2,junior,1,level_1
19871,19871,IT,4,associate,0,level_1
9373,9373,Data Science,1,specialist,0,
6891,6891,Data Science,4,specialist,1,level_4
18810,18810,Human Resources,1,specialist,0,level_4
13736,13736,Data Science,6,specialist,0,level_2
20194,20194,Product Management,2,specialist,0,
20642,20642,,7,junior,0,level_1
977,977,IT,6,junior,0,level_5
8268,8268,IT,6,senior,0,level_2
23848,23848,Product Management,5,associate,0,level_1
925,925,,0,N/A,0,level_4
26272,26272,IT,6,specialist,0,level_4
27911,27911,Data Science,6,specialist,0,
18113,18113,Data Science,5,specialist,0,level_3
21522,21522,IT,8,,0,level_3
18088,18088,N/A,3,N/A,0,
7418,7418,,5,associate,0,N/A
5341,5341,Operation Research,5,senior,0,N/A
27318,27318,,2,,0,level_1
14647,14647,Data Science,8,senior,0,level_5
6577,6577,Customer Support,5,N/A,0,level_2
14147,14147,Product Management,4,junior,0,level_2
80,80,Data Science,2,associate,0,level_3
18950,18950,Product Management,999,junior,0,N/A
17840,17840,Product Management,2,senior,0,N/A
6283,6283,,4,specialist,0,
26089,26089,N/A,6,specialist,0,N/A
21883,21883,IT,4,senior,0,level_2
19211,19211,Product Management,9,associate,0,N/A
9233,9233,N/A,5,junior,0,level_1
2020,2020,,4,N/A,0,N/A
25682,25682,Human Resources,3,,0,level_1
4148,4148,Customer Support,9,specialist,1,N/A
12868,12868,Product Management,3,senior,0,level_1
29007,29007,Customer Support,7,,0,level_5
9534,9534,,999,specialist,0,
3126,3126,Customer Support,6,,0,level_1
14645,14645,Operation Research,5,junior,0,level_1
19814,19814,Product Management,9,senior,1,level_3
15590,15590,,5,senior,1,level_3
8294,8294,N/A,9,N/A,0,level_4
20384,20384,IT,6,junior,0,
24826,24826,IT,4,N/A,1,level_1
13149,13149,,-1,,0,level_1
3103,3103,Product Management,0,N/A,0,level_1
3212,3212,Data Science,7,N/A,0,
24338,24338,,8,senior,1,level_4
6979,6979,Customer Support,2,associate,0,level_4
27679,27679,N/A,4,,0,N/A
22876,22876,Product Management,9,specialist,0,level_2
19730,19730,Operation Research,4,specialist,0,level_3
13274,13274,Customer Support,0,senior,1,level_1
27238,27238,Data Science,2,N/A,1,N/A
3071,3071,N/A,2,specialist,0,level_3
13987,13987,Customer Support,7,specialist,0,level_4
26628,26628,Product Management,8,specialist,1,N/A
13632,13632,Human Resources,1,associate,0,N/A
7085,7085,Operation Research,1,junior,0,N/A
25813,25813,Operation Research,3,N/A,0,level_3
1123,1123,Product Management,0,junior,1,level_1
13823,13823,Data Science,5,N/A,0,level_3
29103,29103,,4,junior,0,level_5
13791,13791,Data Science,0,senior,0,N/A
27062,27062,Operation Research,0,associate,0,level_4
13957,13957,,3,senior,0,level_2
11726,11726,Operation Research,1,associate,0,N/A
15818,15818,Data Science,8,,0,level_2
23714,23714,,0,associate,1,level_2
14364,14364,Product Management,9,N/A,0,N/A
8712,8712,Product Management,2,specialist,0,level_5
22663,22663,IT,4,senior,0,level_4
20347,20347,Customer Support,0,senior,0,level_1
3256,3256,Product Management,999,junior,0,level_2
9952,9952,Human Resources,6,senior,0,level_3
22284,22284,Customer Support,0,specialist,0,level_1
11893,11893,N/A,3,junior,0,level_3
3237,3237,Customer Support,7,senior,0,N/A
14356,14356,Operation Research,-1,N/A,0,level_5
28980,28980,IT,9,specialist,1,
14883,14883,Data Science,3,junior,0,level_3
1114,1114,Operation Research,1,senior,0,level_1
15247,15247,,0,N/A,1,level_4
27522,27522,Human Resources,6,junior,0,level_5
15936,15936,Data Science,0,,0,level_2
3853,3853,IT,9,junior,0,level_4
9261,9261,Data Science,5,junior,0,level_5
25940,25940,,1,senior,0,level_3
13012,13012,IT,9,N/A,1,level_4
18785,18785,N/A,7,senior,0,level_1
4556,4556,,7,,0,level_4
8082,8082,Product Management,0,specialist,0,level_5
29405,29405,Data Science,-1,specialist,0,level_4
